nx_1_significand,nx_1_exponent,nx_2_significand,nx_2_exponent,nNorm_1_significand,nNorm_1_exponent,nNorm_2_significand,nNorm_2_exponent,sSquare_1_significand,sSquare_1_exponent,sSquare_2_significand,sSquare_2_exponent,s_1_significand,s_1_exponent,s_2_significand,s_2_exponent,znxnz_1_significand,znxnz_1_exponent,znxnz_2_significand,znxnz_2_exponent,sny_1_significand,sny_1_exponent,sny_2_significand,sny_2_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-4689456452481200,-71,5095932326950329,-125,8588987992148641,-90,7195457670562812,-146,7760332812717826,-129,-7691496153153536,-183,8360554044275658,-91,7748516278538819,-146,-4576406330435769,-111,4964687606927943,-164,-7584171639865362,-110,7927038637045649,-166,-4936187402541623,-109,8588987992147666,-90,5176538089712395,-72
5394651359463336,-71,-8005634400249868,-127,4840863623386115,-89,-5373325172832228,-144,5123946745034300,-128,-8299113766453248,-183,4803769837492502,-90,-5667845805399448,-146,-5448859631126012,-111,6069054838524407,-165,8123474159200866,-110,-6758274962057587,-163,5399044343637859,-110,4840863623385593,-89,-5022891778380400,-73
-5660802858640307,-72,7695043172321502,-126,4828050987779556,-90,-6526424825458162,-145,4922437709944561,-130,-7344737673543680,-186,4708363689888537,-91,5197603394911817,-145,5915948206258269,-111,6141376641811100,-164,7748435474726135,-111,4902388245145662,-164,6832191840492203,-110,4828050987775082,-90,-6373059585508637,-72
4646296081810132,-72,5299059898635168,-130,4803249507771548,-90,-4972701589922611,-144,5237978220986421,-130,-5277655813324800,-185,4856928737814589,-91,7015106406887155,-146,-5085186006114821,-111,-8804694208260600,-168,-8690738978488901,-111,-5390965987338107,-164,-6887962492301861,-110,4803249507766641,-90,6458258157006760,-72
-5684742500204166,-71,6932090875452736,-129,4776360532136545,-89,5787781657636857,-143,8754140301102044,-129,8259531347853312,-187,8879768352608328,-91,-5138357029236358,-145,6118880842537549,-112,-4794433952837960,-167,6451221704858024,-110,-8109613424667256,-164,7980941915492411,-110,4776360532136397,-89,-7525178803996277,-73
-5865680566988198,-71,-6682191350055960,-125,4815290914794560,-89,7758816912572293,-143,4567825210543431,-128,-8959920254746624,-182,4535598738435418,-90,-8457247083540643,-144,4962688101483450,-121,8065552327335213,-174,6031232357742335,-110,7995318673302816,-163,6033655545291888,-110,4815290914794560,-89,-5643100146238577,-73
-5710109894898253,-71,4691076263142608,-128,7240444683793447,-90,-5758140802161062,-144,5567151568739577,-129,-8402467859464192,-184,7081274141069618,-91,5319372604383626,-145,-5642998781222377,-110,8142018528547828,-164,-5237614767111465,-116,-4588746803125151,-170,-5724836511958493,-110,7240444683789446,-90,7121764672751980,-73
-4615592532292344,-73,5460456239483832,-127,5543451463857004,-94,5553029030908478,-148,7091196516219882,-138,-5136918324969472,-192,5651186600003474,-95,-4589574321063578,-148,-7182217193107067,-114,8079072856882762,-171,-4802381710482178,-117,7344242442360467,-171,-7782514906917339,-114,5543451463847086,-94,6322655021583694,-72
-6527185155220968,-71,-6578344022902272,-128,4901753330445372,-89,-7139461456817619,-144,4754116747564363,-128,8756510603608064,-183,4627163106354335,-90,6945080417288217,-145,-8051471046801519,-113,7281530450207944,-171,5111511695916810,-111,8426613598239740,-165,6197287868432861,-112,4901753330445323,-89,-5693902049625639,-75
-5479099109813488,-72,7993034855619376,-129,6081470088267722,-91,-6302657415771272,-146,7718584002494684,-133,-7819726696742912,-188,8338034784943384,-93,-5362618070510598,-147,5375520819451358,-111,8311730161034000,-165,-4605941635792139,-112,7313570908873412,-165,6145100003110579,-112,6081470088259837,-91,-4550720415050538,-73
