nx_significand,nx_exponent,nNorm_significand,nNorm_exponent,sSquare_significand,sSquare_exponent,s_significand,s_exponent,znxnz_significand,znxnz_exponent,sny_significand,sny_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
4616628809551213,-53,9007199254740990,-53,5803534988710272,-56,5112416064111685,-54,8446989850087286,-55,5816227122184105,-55,7131608486135696,-54,5280720878412839,-53,-6082106981266215,-53
-8319074378438821,-54,4503599627370496,-52,6100914739572704,-57,7412972055492830,-55,7956103822877604,-55,8553216233537820,-56,6116355969823257,-54,4918689059059661,-53,-5600195120247632,-53
5742131346508433,-55,4503599627370496,-52,7773721729634296,-57,8367763176006231,-55,5430226354394714,-56,5846698654113994,-55,8561811831311351,-55,4626153850093622,-53,-8334995727029218,-54
-4748002759512867,-54,4503599627370497,-52,7794321541753040,-57,8378842830730843,-55,8980527114612465,-56,5607289172349060,-55,5048776364827646,-54,4659631519394857,-53,-4879713612690919,-53
5923290054946668,-53,9007199254740991,-53,8940634734520032,-58,6345473919167908,-55,-5735098569966500,-54,-6419171206132966,-57,-6537494970733121,-54,8942720545687376,-54,6584631547796424,-53
-7178365881283600,-54,4503599627370496,-52,6858538027115609,-54,5557707198406932,-53,-7305172066995633,-56,4676617647042600,-53,7526942277336292,-54,7807887197149110,-53,-8683100454583473,-54
5253247343134960,-53,4503599627370496,-52,6162222368885968,-57,7450125148517840,-55,5007189904662861,-54,-7073597483343266,-56,6477581067654089,-55,5093779515777525,-53,-5727069966846846,-54
-5207474019421510,-54,4503599627370497,-52,8359228046137281,-54,6135683850532788,-53,6333764244430968,-57,-5720140106495506,-53,-5324279841218570,-53,8581144498965101,-53,5588630913235415,-53
-6623987596490175,-53,9007199254740991,-53,5453014800806136,-56,4955622607196427,-54,5970535699275765,-54,-6249855454702443,-56,8816143671200308,-55,5766741216930787,-53,-6885063827017747,-54
4657123146420103,-54,4503599627370496,-52,5597126731560648,-56,5020679024056604,-54,8505035762109194,-56,-7358254675996063,-55,-6211473589882932,-56,5438744525782160,-53,5143464638246717,-55
8542203707700506,-53,9007199254740991,-53,5983764976027498,-54,5191192706528054,-53,7984227825244278,-55,-5990946316218631,-57,6486491246189620,-55,8148073937889283,-53,-7170420833674693,-55
-6890042706774362,-53,9007199254740990,-53,4583470123985852,-54,4543359367521623,-53,-6716195863490318,-55,5173628535770991,-54,7262122416103328,-56,8190414461439423,-53,-7986333771278778,-56
-7958522269258573,-53,9007199254740991,-53,6068623613635144,-55,7393328214683699,-54,5791139498143392,-54,-8163260643271240,-58,5280935707938940,-54,7074833170275592,-53,-6723330293176343,-54
-7497245176212399,-53,4503599627370496,-52,6659472288771668,-55,7744881783241914,-54,-5615728294679433,-54,7613428134344998,-56,-7424742522186367,-55,6784419916148092,-53,4928655370616435,-54
4711522780822594,-53,4503599627370496,-52,6032642414048468,-55,7371377907551360,-54,7787467654422327,-55,8852234326021155,-55,8319850990221741,-54,5711940949043415,-53,-6559815333107690,-53
5554338769196026,-53,4503599627370496,-52,6909009505271440,-54,5578119094590906,-53,4911040474859347,-55,-8093634307510036,-54,-5638114070080362,-54,8165801389544020,-53,6219060987106411,-54
6268739618181383,-53,4503599627370497,-52,7805676544256106,-54,5929050680849880,-53,7246930203659770,-57,-8437262193832455,-54,-7531395918374984,-54,8922829989009990,-53,7602608565522289,-54
8791519348157192,-53,9007199254740989,-53,6930310690501196,-54,5586711433688244,-53,-5521161035042013,-55,5819915219386619,-57,-8132364460390716,-56,8619187009555510,-53,8498461284771552,-56
7697478827460214,-53,4503599627370496,-52,5184749503371418,-54,4832187489263313,-53,4855059844485158,-54,-5430911807981040,-55,8558415761978552,-56,7289297640805808,-53,-5287708080509593,-55
-5047857306595756,-55,4503599627370496,-52,5914828835615752,-55,7299043901777734,-54,-8413679051388112,-57,-5627182396400874,-54,-6678892277824388,-54,5530333615422483,-53,5438922651931143,-53
